DATETIME,MEASURE:Units,MEASURE:Royalty Price,MEASURE:Customer Price,Vendor Identifier,Artist / Show,Title,Label/Studio/Network,Product Type Identifier,Order Id,Postal Code,Customer Identifier,Sale/Return,Customer Currency,Country Code,Royalty Currency,Asset/Content Flavor
9/28/13,1,3.49,4.99,0144_20121109_MOBZ_HEADHUNTERS,"Synnove Macody Lund,Nikolaj Coster-Waldau,Aksel Hennie",Headhunters,Yellow Bird,D,6.80012E+13,CO1101000,6203075179,S,USD,CO,USD,HD
9/29/13,1,35,50,0144_20121109_MOBZ_HEADHUNTERS,"Synnove Macody Lund,Nikolaj Coster-Waldau,Aksel Hennie",Headhunters,Yellow Bird,D,6.7002E+13,64620,6095928119,S,MXN,MX,MXN,HD
9/25/13,1,2.79,3.99,0209_20130717_SOFA_AMORETUDOQUEVOCEPRECISA,"Trine Dyrholm,Sebastian Jessen,Pierce Brosnan,Paprika Steen,Molly Blixt Egelind,Kim Bodnia",Amor ﾌｩ Tudo o Que Vocﾌｻ Precisa,Zentropa Entertainments,D,6.30021E+13,74110-140,5055394424,S,USD,BR,USD,SD
9/28/13,1,2.09,2.99,0145_20121109_MOBZ_HABEMUSPAPAM,"Nanni Moretti,Michel Piccoli,Jerzy Stuhr",Habemus Papam,Sacher Film,D,3.90026E+13,70873-040,5283472539,S,USD,BR,USD,HD
9/23/13,1,3.49,4.99,0165_20130110_MOBZ_PARISMANHATTAN,"Woody Allen,Patrick Bruel,Marine Delterme,Louis-Do De Lencquesaing,Alice Taglioni",Paris-Manhattan,Vendﾌｫme Production,D,8.6002E+13,09670-810,6879361714,S,USD,BR,USD,HD
9/28/13,1,2.09,2.99,0144_20121109_MOBZ_HEADHUNTERS,"Synnove Macody Lund,Nikolaj Coster-Waldau,Aksel Hennie",Headhunters,Yellow Bird,D,8.30018E+13,05088-050,3414300834,S,USD,BR,USD,HD
9/28/13,1,3.49,4.99,0008_20120426_MOBZ_ASEPARACAO,"Shahab Hosseini,Sarina Farhadi,Sareh Bayat,Peyman Moadi,Leila Hatami",A Separaﾌ､ﾌ｣o,Asghar Farhadi,D,6.20028E+13,EC170341,6610948399,S,USD,EC,USD,HD
9/29/13,1,3.49,4.99,0144_20121109_MOBZ_HEADHUNTERS,"Synnove Macody Lund,Nikolaj Coster-Waldau,Aksel Hennie",Headhunters,Yellow Bird,D,2.70026E+13,$,5382206574,S,USD,CL,USD,HD
9/26/13,1,3.49,4.99,0190_20130705_SOFA_ELENA,"Petra Costa,Li An,Elena Andrade",Elena,Busca Vida Filmes,D,6.60023E+13,31320-000,5096517239,S,USD,BR,USD,HD
9/28/13,1,3.49,4.99,0144_20121109_MOBZ_HEADHUNTERS,"Synnove Macody Lund,Nikolaj Coster-Waldau,Aksel Hennie",Headhunters,Yellow Bird,D,6.30022E+13,766 0295,5699773839,S,USD,CL,USD,HD
9/28/13,1,2.99,4.99,0008_20120426_MOBZ_ASEPARACAO,"Shahab Hosseini,Sarina Farhadi,Sareh Bayat,Peyman Moadi,Leila Hatami",A Separaﾌ､ﾌ｣o,Asghar Farhadi,D,6.30021E+13,1,659054419,S,USD,CO,USD,HD
9/27/13,1,1.4,1.99,0133_20121024_MOBZ_MAMAMA,"Vera Fuzaro,Isabela G. Carvalho",Galinha Pintadinha 3 Mamama Papapa,Bromelia filminhos,M,8.30018E+13,78050-090,2190353934,S,USD,BR,USD,SD
9/26/13,1,2.99,4.99,0183_20130110_MOBZ_OAMANTEDARAINHA,"Trine Dyrholm,Mikkel Boe Fﾌ�lsgaard,Mads Mikkelsen,David Dencik,Alicia Vikander",O Amante da Rainha,2012 Zentropa Entertainments,D,6.50018E+13,22641-005,5647920244,S,USD,BR,USD,HD
9/23/13,1,7,9.99,0006_20120426_MOBZ_VIPS,"Ricardo Macchi,Maria Paula,Marcelo Nascimento da Rocha,Ed Sﾌﾁ,Amaury Jr",Vip's - Histﾌ_rias Reais de um Mentiroso,Mariana Caltabiano Criaﾌ､ﾌｵes,M,6.20028E+13,$,5337010309,S,USD,BR,USD,HD
9/23/13,1,3.49,4.99,0197_20130705_SOFA_LOUCOSPORDINHEIRO,"Stephen Park,Michael Angarano,Lucy Walters,Juno Temple,Jack McBrayer,Debra Monk,Bobby Moynihan,Billy Magnussen,Ben Rappaport,Alia Shawkat,Alexis Bledel",Loucos por Dinheiro,Northern Light Films,D,7.40006E+13,29160-420,8664659929,S,USD,BR,USD,HD
9/29/13,1,2.79,3.99,0210_20130718_SOFA_UMAGARRAFANOMARDEGAZA,"Mahmud Shalaby,Hiam Abbass,Agathe Bonitzer",Uma Garrafa no Mar de Gaza,TS Productions,D,8.20021E+13,04531-020,455825224,S,USD,BR,USD,SD
9/28/13,1,5,7.99,0099_20120827_MOBZ_AONDA,"Max Riemelt,Jﾌ_rgen Vogel,Jennifer Ulrich,Jacob Matschenz,Frederick Lau,Christiane Paul",A Onda,Constantin Film Verleih Gmbh,M,8.10019E+13,06023-160,2127640929,S,USD,BR,USD,HD
9/27/13,1,2.39,3.99,0144_20121109_MOBZ_HEADHUNTERS,"Synnove Macody Lund,Nikolaj Coster-Waldau,Aksel Hennie",Headhunters,Yellow Bird,D,6.7002E+13,B1648DYX,1403731844,S,USD,AR,USD,SD
9/29/13,1,3.49,4.99,0148_20121205_MOBZ_OSOMAOREDOR,"W.J. Solha,Maeve Jinkings,Lula Terra,Irma Brown,Irandhir Santos,Gustavo Jahn",Neighbouring Sounds,Cinemascﾌ_pio,D,6.20028E+13,18077-080,5348161504,S,USD,BR,USD,HD
9/27/13,1,1.4,1.99,0130_20121024_MOBZ_ARANHA,"Vera Fuzaro,Isabela G. Carvalho",Galinha Pintadinha 3 Dona Aranha,Bromelia filminhos,M,8.30018E+13,78050-090,2190353934,S,USD,BR,USD,SD
9/27/13,1,3.49,4.99,0144_20121109_MOBZ_HEADHUNTERS,"Synnove Macody Lund,Nikolaj Coster-Waldau,Aksel Hennie",Headhunters,Yellow Bird,D,3.10021E+13,7510097,5282629714,S,USD,CL,USD,HD
9/27/13,1,14,19.99,0209_20130717_SOFA_AMORETUDOQUEVOCEPRECISA,"Trine Dyrholm,Sebastian Jessen,Pierce Brosnan,Paprika Steen,Molly Blixt Egelind,Kim Bodnia",Amor ﾌｩ Tudo o Que Vocﾌｻ Precisa,Zentropa Entertainments,M,6.9001E+13,22010-050,7291297544,S,USD,BR,USD,HD
9/23/13,1,14,19.99,0144_20121109_MOBZ_HEADHUNTERS,"Synnove Macody Lund,Nikolaj Coster-Waldau,Aksel Hennie",Headhunters,Yellow Bird,M,7.30011E+13,Ec170102,9796099259,S,USD,EC,USD,HD
9/28/13,1,14,19.99,0165_20130110_MOBZ_PARISMANHATTAN,"Woody Allen,Patrick Bruel,Marine Delterme,Louis-Do De Lencquesaing,Alice Taglioni",Paris-Manhattan,Vendﾌｫme Production,M,6.60023E+13,70384-090,1482725234,S,USD,BR,USD,HD
9/26/13,1,2.79,3.99,0148_20121205_MOBZ_OSOMAOREDOR,"W.J. Solha,Maeve Jinkings,Lula Terra,Irma Brown,Irandhir Santos,Gustavo Jahn",Neighbouring Sounds,Cinemascﾌ_pio,D,2.30024E+13,01225-000,6770715099,S,USD,BR,USD,SD
9/28/13,1,2.09,2.99,0099_20120827_MOBZ_AONDA,"Max Riemelt,Jﾌ_rgen Vogel,Jennifer Ulrich,Jacob Matschenz,Frederick Lau,Christiane Paul",A Onda,Constantin Film Verleih Gmbh,D,7.20017E+13,24220-320,5219409769,S,USD,BR,USD,HD
9/23/13,1,3.49,4.99,0144_20121109_MOBZ_HEADHUNTERS,"Synnove Macody Lund,Nikolaj Coster-Waldau,Aksel Hennie",Headhunters,Yellow Bird,D,1.13001E+14,1011,9687621724,S,USD,GT,USD,HD
9/28/13,1,3.49,4.99,0190_20130705_SOFA_ELENA,"Petra Costa,Li An,Elena Andrade",Elena,Busca Vida Filmes,D,7.30012E+13,80630-120,2966225439,S,USD,BR,USD,HD
9/28/13,1,2.99,4.99,0183_20130110_MOBZ_OAMANTEDARAINHA,"Trine Dyrholm,Mikkel Boe Fﾌ�lsgaard,Mads Mikkelsen,David Dencik,Alicia Vikander",O Amante da Rainha,2012 Zentropa Entertainments,D,7.40006E+13,57080-900,9853958514,S,USD,BR,USD,HD
9/23/13,1,3.49,4.99,0189_20130705_SOFA_APARTEDOSANJOS,"William Ruane,Paul Brannigan,John Henshaw,Jasmin Riggins,Gary Maitland",A Parte dos Anjos,Entertainment One,D,7.30011E+13,04521-022,6236709944,S,USD,BR,USD,HD
9/25/13,1,3.49,4.99,0201_20130705_SOFA_MARTELODOSDEUSES,"Theo Barklem-Biggs,Michael Lindall,Michael Jibson,James Cosmo,IVAN KAYE,Glynis Barber,Francis Magee,Finlay Robertson,Elliot Cowan,Clive Standen,Charlie Bewley,Alexandra Dowling",Martelo dos Deuses,Vertigo Filmes,D,7.60011E+13,04524-020,5765416714,S,USD,BR,USD,HD
9/24/13,1,2.79,3.99,0209_20130717_SOFA_AMORETUDOQUEVOCEPRECISA,"Trine Dyrholm,Sebastian Jessen,Pierce Brosnan,Paprika Steen,Molly Blixt Egelind,Kim Bodnia",Amor ﾌｩ Tudo o Que Vocﾌｻ Precisa,Zentropa Entertainments,D,2.30024E+13,57035-220,6715123959,S,USD,BR,USD,SD
9/28/13,1,28,40,0144_20121109_MOBZ_HEADHUNTERS,"Synnove Macody Lund,Nikolaj Coster-Waldau,Aksel Hennie",Headhunters,Yellow Bird,D,2.90023E+13,31238,2806372644,S,MXN,MX,MXN,SD
9/28/13,1,2.09,2.99,0147_20121130_MOBZ_BELEZAADORMECIDA,"Rachael Blake,Ewen Leslie,Emily Browning",Beleza Adormecida,Magic Films,D,2.80024E+13,03606-010,5464052199,S,USD,BR,USD,HD
9/29/13,1,3.49,4.99,0197_20130705_SOFA_LOUCOSPORDINHEIRO,"Stephen Park,Michael Angarano,Lucy Walters,Juno Temple,Jack McBrayer,Debra Monk,Bobby Moynihan,Billy Magnussen,Ben Rappaport,Alia Shawkat,Alexis Bledel",Loucos por Dinheiro,Northern Light Films,D,2.60025E+13,51130-030,7093312644,S,USD,BR,USD,HD
9/29/13,1,105,149,0144_20121109_MOBZ_HEADHUNTERS,"Synnove Macody Lund,Nikolaj Coster-Waldau,Aksel Hennie",Headhunters,Yellow Bird,M,6.40025E+13,50090,5200614164,S,MXN,MX,MXN,SD
9/25/13,1,2.39,3.99,0144_20121109_MOBZ_HEADHUNTERS,"Synnove Macody Lund,Nikolaj Coster-Waldau,Aksel Hennie",Headhunters,Yellow Bird,D,8.90013E+13,9420,3021536904,S,USD,AR,USD,SD
9/23/13,1,35,50,0144_20121109_MOBZ_HEADHUNTERS,"Synnove Macody Lund,Nikolaj Coster-Waldau,Aksel Hennie",Headhunters,Yellow Bird,D,8.6002E+13,76230,7310469594,S,MXN,MX,MXN,HD
9/29/13,1,10.5,14.99,0206_20130705_SOFA_ORETORNODODRAGAO,Jet Li,O Retorno do Dragﾌ｣o - A Cidade Perdida,Beijing Liangzi Group,M,2.70026E+13,87820-000,7127782504,S,USD,BR,USD,SD
9/29/13,1,35,50,0144_20121109_MOBZ_HEADHUNTERS,"Synnove Macody Lund,Nikolaj Coster-Waldau,Aksel Hennie",Headhunters,Yellow Bird,D,3.20024E+13,1810,9604451599,S,MXN,MX,MXN,HD
9/28/13,1,28,40,0144_20121109_MOBZ_HEADHUNTERS,"Synnove Macody Lund,Nikolaj Coster-Waldau,Aksel Hennie",Headhunters,Yellow Bird,D,8.50019E+13,21280,981373114,S,MXN,MX,MXN,SD
9/24/13,1,3.49,4.99,0195_20130705_SOFA_HOJE,"Pedro Abhull,Lorena Lobato,Joﾌ｣o Baldasserini,Denise Fraga,Cﾌｩsar Troncoso,Claudia Assunﾌ､ﾌ｣o",Hoje,Tangerina Entretenimento,D,6.00028E+13,01410-000,1477148764,S,USD,BR,USD,HD
9/23/13,1,3.49,4.99,0209_20130717_SOFA_AMORETUDOQUEVOCEPRECISA,"Trine Dyrholm,Sebastian Jessen,Pierce Brosnan,Paprika Steen,Molly Blixt Egelind,Kim Bodnia",Amor ﾌｩ Tudo o Que Vocﾌｻ Precisa,Zentropa Entertainments,D,8.6002E+13,05101-200,5251748794,S,USD,BR,USD,HD
9/25/13,1,2.99,4.99,0101_20120913_MOBZ_533FILHOS,"Patrick Huard,Julie Le Breton,Antoine  Bertrand",Meus 533 Filhos,Caramel Films,D,3.10021E+13,42700-000,2756995579,S,USD,BR,USD,HD
9/29/13,1,28,40,0144_20121109_MOBZ_HEADHUNTERS,"Synnove Macody Lund,Nikolaj Coster-Waldau,Aksel Hennie",Headhunters,Yellow Bird,D,7.20018E+13,33333,5914131939,S,MXN,MX,MXN,SD
9/29/13,1,3.49,4.99,0144_20121109_MOBZ_HEADHUNTERS,"Synnove Macody Lund,Nikolaj Coster-Waldau,Aksel Hennie",Headhunters,Yellow Bird,D,8.90014E+13,413 0642,2210892859,S,USD,CL,USD,HD
9/28/13,1,1.4,1.99,0129_20121024_MOBZ_GALINHA3,"Vera Fuzaro,Isabela G. Carvalho",Galinha Pintadinha 3 Galinha Pintadinha 3,Bromelia filminhos,M,3.10021E+13,24210-270,581447649,S,USD,BR,USD,SD
9/27/13,1,10.5,14.99,0210_20130718_SOFA_UMAGARRAFANOMARDEGAZA,"Mahmud Shalaby,Hiam Abbass,Agathe Bonitzer",Uma Garrafa no Mar de Gaza,TS Productions,M,8.10018E+13,05466-040,3367267684,S,USD,BR,USD,SD
9/25/13,1,3.49,4.99,0190_20130705_SOFA_ELENA,"Petra Costa,Li An,Elena Andrade",Elena,Busca Vida Filmes,D,8.10018E+13,22441-090,2171155674,S,USD,BR,USD,HD
9/26/13,1,3.49,4.99,0205_20130705_SOFA_HITMAN,"Luke Goss,Caroline Tillette",Entrevista com Hitman,Kirlian Pictures,D,6.40025E+13,70384-080,5303488409,S,USD,BR,USD,HD
9/25/13,1,3.49,4.99,0204_20130705_SOFA_DEPOISDEMAIO,"Lola Creton,Fﾌｩlix Armand,Clﾌｩment Mﾌｩtayer",Depois de Maio,MK2 Productions,D,9.00014E+13,88048-300,6259602964,S,USD,BR,USD,HD
9/28/13,1,2.09,2.99,0101_20120913_MOBZ_533FILHOS,"Patrick Huard,Julie Le Breton,Antoine  Bertrand",Meus 533 Filhos,Caramel Films,D,7.20017E+13,81450-430,6416441879,S,USD,BR,USD,HD
